"Cleaned.Name","Year","Ety..type","Etymology","Full.Expansion.Phrase","Cultural.Heritage"
"AngelScript","2003","","","","Animal"
"Apache Pig latin","2008","Phrase","","Apache Pig","Animal"
"Caml","1985","Acronym","","Categorical Abstract Machine Language","Animal"
"Cobra","2006","Thematic","","","Animal"
"Coq","1989","Attribution","Word","","Animal"
"DATATRIEVE","<1980","","","","Animal"
"Dog","","","","","Animal"
"Factor","2003","Word","","","Animal"
"FoxPro","1994","Company","","","Animal"
"GameMonkey Script","2002","Phrase","","","Animal"
"Grasshopper","2007","","","","Animal"
"Hop","2006","Thematic","","","Animal"
"Lasso","1995","Functional","","","Animal"
"Lynx","","","","","Animal"
"Mouse","<1980","Thematic","","","Animal"
"Pike","1995","Word","","","Animal"
"Scratch","2003","Thematic","","","Animal"
"Serpent","2014","Thematic","","","Animal"
"Squeak","1996","Thematic","","","Animal"
"Squirrel","2003","Word","","","Animal"
"Starlogo","2001","Relation","","","Animal"
"Swift (1)","2014","Functional","","","Animal"
"Unicon","<1998","Abbreviation","","Unified Extended Dialect of Icon","Animal"
"Wyvern","<2012","","","","Animal"
